id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
1,abe gandu kya bolta hai,1,0,1,0,1,0
2,tu kasa ahes?,0,0,0,0,0,0
3,ye pagal kya kar raha hai,1,0,0,0,1,0
4,aaj khup chan vatatay,0,0,0,0,0,0
5,tu chutiya hai kya?,1,0,1,0,1,0
6,mazya dostala bhetun khush zalo,0,0,0,0,0,0
7,bhenchod band kar ye bakwas,1,1,1,0,1,0
8,tu khup sundar distes,0,0,0,0,0,0
9,madarchod kahi ka,1,1,1,0,1,0
10,aaj khup thandi ahe,0,0,0,0,0,0
11,gandu mat bol yar,1,0,1,0,1,0
12,tula kahi problem ahe ka?,0,0,0,0,0,0
13,chutiya sala kya sochta hai,1,0,1,0,1,0
14,mi tula khup miss karto,0,0,0,0,0,0
15,pagalpan band kar abhi,1,0,0,0,1,0
16,tu maza hero ahes,0,0,0,0,0,0
17,abe harami kya chal raha,1,0,1,0,1,0
18,kal khup majja keli,0,0,0,0,0,0
19,tu kutta hai kya,1,0,1,0,1,0
20,mi tula prem karto,0,0,0,0,0,0
21,abe randi kya bolti hai,1,1,1,0,1,1
22,tu khup smart ahes,0,0,0,0,0,0
23,ye bakchod kya karta hai,1,0,1,0,1,0
24,mi khup khush ahe,0,0,0,0,0,0
25,tu gandu sala hai,1,0,1,0,1,0
26,aaj khup divas chan ahe,0,0,0,0,0,0
27,chutiya kya soch raha hai,1,0,1,0,1,0
28,tu mazi best friend ahes,0,0,0,0,0,0
29,abe kutta band kar,1,0,1,0,1,0
30,mi tujhya sobat time ghala,0,0,0,0,0,0
31,pagal kahi ka mat bol,1,0,0,0,1,0
32,tula kasa vatata ahe?,0,0,0,0,0,0
33,harami kya chal raha hai,1,0,1,0,1,0
34,mi tujhya sobat khush ahe,0,0,0,0,0,0
35,bhenchod kya kar raha hai,1,1,1,0,1,0
36,tu khup talent ahes,0,0,0,0,0,0
37,madarchod kya bolta hai,1,1,1,0,1,0
38,aaj khup chan hava ahe,0,0,0,0,0,0
39,gandu kya sochta hai,1,0,1,0,1,0
40,tu maza favorite ahes,0,0,0,0,0,0
41,chutiya kahi ka,1,0,1,0,1,0
42,mi tujhya sobat khup enjoy karto,0,0,0,0,0,0
43,pagal mat kar abhi,1,0,0,0,1,0
44,tu khup mast distes,0,0,0,0,0,0
45,abe kutta kya bolta hai,1,0,1,0,1,0
46,mi tujhya sobat time pass karto,0,0,0,0,0,0
47,harami band kar ye,1,0,1,0,1,0
48,tu khup intelligent ahes,0,0,0,0,0,0
49,bakchod kya kar raha hai,1,0,1,0,1,0
50,mi tujhya sobat khup khush ahe,0,0,0,0,0,0
51,abe gandu kya sochta hai,1,0,1,0,1,0
52,tu kasa dista ahes?,0,0,0,0,0,0
53,ye chutiya kya bolta hai,1,0,1,0,1,0
54,aaj khup sundar divas ahe,0,0,0,0,0,0
55,pagal kya kar raha hai,1,0,0,0,1,0
56,tu maza khup chan dost ahes,0,0,0,0,0,0
57,harami kya karta hai,1,0,1,0,1,0
58,mi tujhya sobat khup majja karto,0,0,0,0,0,0
59,kutta kya sochta hai,1,0,1,0,1,0
60,tu khup helpful ahes,0,0,0,0,0,0
61,abe randi kya kar raha,1,1,1,0,1,1
62,tu khup chan manus ahes,0,0,0,0,0,0
63,bakchod mat bol yar,1,0,1,0,1,0
64,mi tujhya sobat khup time ghala,0,0,0,0,0,0
65,gandu kya chal raha hai,1,0,1,0,1,0
66,aaj khup mast mood ahe,0,0,0,0,0,0
67,chutiya kya karta hai,1,0,1,0,1,0
68,tu maza inspiration ahes,0,0,0,0,0,0
69,pagal band kar abhi,1,0,0,0,1,0
70,mi tujhya sobat khup enjoy kela,0,0,0,0,0,0
71,abe harami kya sochta hai,1,0,1,0,1,0
72,tu khup hardworking ahes,0,0,0,0,0,0
73,kutta kya kar raha hai,1,0,1,0,1,0
74,mi tujhya sobat khup khush hoto,0,0,0,0,0,0
75,bhenchod kya bolta hai,1,1,1,0,1,0
76,tu maza role model ahes,0,0,0,0,0,0
77,madarchod kya karta hai,1,1,1,0,1,0
78,aaj khup chan vatatay na?,0,0,0,0,0,0
79,gandu kya karta hai,1,0,1,0,1,0
80,tu khup talented ahes,0,0,0,0,0,0
81,chutiya mat bol yar,1,0,1,0,1,0
82,mi tujhya sobat khup time kela,0,0,0,0,0,0
83,pagal kya sochta hai,1,0,0,0,1,0
84,tu khup sundar ahes,0,0,0,0,0,0
85,abe kutta kya karta hai,1,0,1,0,1,0
86,mi tujhya sobat khup majja keli,0,0,0,0,0,0
87,harami kya bolta hai,1,0,1,0,1,0
88,tu maza favorite dost ahes,0,0,0,0,0,0
89,bakchod kya sochta hai,1,0,1,0,1,0
90,mi tujhya sobat khup khush ahe,0,0,0,0,0,0
91,abe gandu kya karta hai,1,0,1,0,1,0
92,tu kasa ahes aaj?,0,0,0,0,0,0
93,ye chutiya kya karta hai,1,0,1,0,1,0
94,aaj khup chan hava vatatay,0,0,0,0,0,0
95,pagal kya bolta hai,1,0,0,0,1,0
96,tu maza khup chan friend ahes,0,0,0,0,0,0
97,harami kya sochta hai,1,0,1,0,1,0
98,mi tujhya sobat khup time pass kela,0,0,0,0,0,0
99,kutta kya bolta hai,1,0,1,0,1,0
100,tu khup mast manus ahes,0,0,0,0,0,0
101,abe randi kya sochta hai,1,1,1,0,1,1
102,tu khup smart dista ahes,0,0,0,0,0,0
103,bakchod kya bolta hai,1,0,1,0,1,0
104,mi tujhya sobat khup enjoy karto,0,0,0,0,0,0
105,gandu kya sochta hai,1,0,1,0,1,0
106,aaj khup sundar divas ahe,0,0,0,0,0,0
107,chutiya kya sochta hai,1,0,1,0,1,0
108,tu maza best friend ahes,0,0,0,0,0,0
109,pagal kya karta hai,1,0,0,0,1,0
110,mi tujhya sobat khup khush hoto,0,0,0,0,0,0
111,abe harami kya karta hai,1,0,1,0,1,0
112,tu khup hardworking dista ahes,0,0,0,0,0,0
113,kutta kya sochta hai,1,0,1,0,1,0
114,mi tujhya sobat khup time ghala,0,0,0,0,0,0
115,bhenchod kya sochta hai,1,1,1,0,1,0
116,tu maza role model ahes,0,0,0,0,0,0
117,madarchod kya sochta hai,1,1,1,0,1,0
118,aaj khup chan vatatay na?,0,0,0,0,0,0
119,gandu kya bolta hai,1,0,1,0,1,0
120,tu khup talented dista ahes,0,0,0,0,0,0
121,chutiya kya bolta hai,1,0,1,0,1,0
122,mi tujhya sobat khup majja karto,0,0,0,0,0,0
123,pagal kya sochta hai,1,0,0,0,1,0
124,tu khup sundar dista ahes,0,0,0,0,0,0
125,abe kutta kya sochta hai,1,0,1,0,1,0
126,mi tujhya sobat khup enjoy kela,0,0,0,0,0,0
127,harami kya karta hai,1,0,1,0,1,0
128,tu maza favorite dost ahes,0,0,0,0,0,0
129,bakchod kya karta hai,1,0,1,0,1,0
130,mi tujhya sobat khup khush ahe,0,0,0,0,0,0
131,abe gandu kya karta hai,1,0,1,0,1,0
132,tu kasa dista ahes aaj?,0,0,0,0,0,0
133,ye chutiya kya karta hai,1,0,1,0,1,0
134,aaj khup chan hava vatatay,0,0,0,0,0,0
135,pagal kya bolta hai,1,0,0,0,1,0
136,tu maza khup chan friend ahes,0,0,0,0,0,0
137,harami kya sochta hai,1,0,1,0,1,0
138,mi tujhya sobat khup time pass kela,0,0,0,0,0,0
139,kutta kya bolta hai,1,0,1,0,1,0
140,tu khup mast manus dista ahes,0,0,0,0,0,0
141,abe randi kya karta hai,1,1,1,0,1,1
142,tu khup smart dista ahes,0,0,0,0,0,0
143,bakchod kya sochta hai,1,0,1,0,1,0
144,mi tujhya sobat khup enjoy karto,0,0,0,0,0,0
145,gandu kya karta hai,1,0,1,0,1,0
146,aaj khup sundar divas ahe,0,0,0,0,0,0
147,chutiya kya karta hai,1,0,1,0,1,0
148,tu maza best friend dista ahes,0,0,0,0,0,0
149,pagal kya karta hai,1,0,0,0,1,0
150,mi tujhya sobat khup khush hoto,0,0,0,0,0,0
151,abe harami kya karta hai,1,0,1,0,1,0
152,tu khup hardworking dista ahes,0,0,0,0,0,0
153,kutta kya karta hai,1,0,1,0,1,0
154,mi tujhya sobat khup time ghala,0,0,0,0,0,0
155,bhenchod kya karta hai,1,1,1,0,1,0
156,tu maza role model dista ahes,0,0,0,0,0,0
157,madarchod kya karta hai,1,1,1,0,1,0
158,aaj khup chan vatatay na?,0,0,0,0,0,0
159,gandu kya karta hai,1,0,1,0,1,0
160,tu khup talented dista ahes,0,0,0,0,0,0
161,chutiya kya karta hai,1,0,1,0,1,0
162,mi tujhya sobat khup majja karto,0,0,0,0,0,0
163,pagal kya karta hai,1,0,0,0,1,0
164,tu khup sundar dista ahes,0,0,0,0,0,0
165,abe kutta kya karta hai,1,0,1,0,1,0
166,mi tujhya sobat khup enjoy kela,0,0,0,0,0,0
167,harami kya karta hai,1,0,1,0,1,0
168,tu maza favorite dost dista ahes,0,0,0,0,0,0
169,bakchod kya karta hai,1,0,1,0,1,0
170,mi tujhya sobat khup khush ahe,0,0,0,0,0,0
171,abe gandu kya karta hai,1,0,1,0,1,0
172,tu kasa dista ahes aaj?,0,0,0,0,0,0
173,ye chutiya kya karta hai,1,0,1,0,1,0
174,aaj khup chan hava vatatay,0,0,0,0,0,0
175,pagal kya karta hai,1,0,0,0,1,0
176,tu maza khup chan friend dista ahes,0,0,0,0,0,0
177,harami kya karta hai,1,0,1,0,1,0
178,mi tujhya sobat khup time pass kela,0,0,0,0,0,0
179,kutta kya karta hai,1,0,1,0,1,0
180,tu khup mast manus dista ahes,0,0,0,0,0,0
181,abe randi kya karta hai,1,1,1,0,1,1
182,tu khup smart dista ahes,0,0,0,0,0,0
183,bakchod kya karta hai,1,0,1,0,1,0
184,mi tujhya sobat khup enjoy karto,0,0,0,0,0,0
185,gandu kya karta hai,1,0,1,0,1,0
186,aaj khup sundar divas ahe,0,0,0,0,0,0
187,chutiya kya karta hai,1,0,1,0,1,0
188,tu maza best friend dista ahes,0,0,0,0,0,0
189,pagal kya karta hai,1,0,0,0,1,0
190,mi tujhya sobat khup khush hoto,0,0,0,0,0,0
191,abe harami kya karta hai,1,0,1,0,1,0
192,tu khup hardworking dista ahes,0,0,0,0,0,0
193,kutta kya karta hai,1,0,1,0,1,0
194,mi tujhya sobat khup time ghala,0,0,0,0,0,0
195,bhenchod kya karta hai,1,1,1,0,1,0
